,0
14,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
15,80件のコメント http://b.hatena.ne.jp/entry/s/note.mu/ori_io/n/n721e9694788b#tw?u=k7ms … “バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” 
16,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
17,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
18,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 … 依然TLに流れてきたテプラ貼られまくったコンビニのコーヒーマシン思い出した
19,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
ネタであれば大好き。(ンな訳ないじやん)"
20,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - 
21,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
22,"なるほどなぁ、と思いました。
多分最後の、私も激突すると思います···

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
23,"こんなのもあるのか…

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
24,"UIとか工業デザインの考え方はもっと初等教育レベルで広まってもいいと思うんだ。

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
25,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
26,"面白かった
バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
27,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- http://ddd.entaku-guild.com/entry/bad-design-award-2017 …　ドアとか設計の段階でおかしいと気付けｗ
28,"デュアルテプラ、孔明の罠

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
29,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
30,“バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary -” http://htn.to/RAee1Pbi6b 
31,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
32,"あー面白かったwww
#バッドデザイン賞 を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
33,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
34,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
35,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
36,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
37,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
38,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
39,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
40,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - 
41,"これはひどい

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
42,"個人的には一番最初のと最後のが最高だなｗ

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
43,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
44,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
45,"面白い！

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
46,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
47,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
＞（この記事の読了目安：5分）
こういう表記や無駄にページ数が分かれてない記事わかりやすくてすき"
48,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
No.1が酷すぎる"
49,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

デザインって難しいよね(´･ω･`)"
50,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
ほんとこれ面白い"
51,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
52,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

面白かった。"
53,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
54,"これは、逆に勉強になるレベル。

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
55,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
ひどいのばっかり"
56,475件のコメント http://b.hatena.ne.jp/entry/ddd.entaku-guild.com/entry/bad-design-award-2017#tw?u=ichiko_revjune … “バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary -” http://htn.to/qWvKTb 
57,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
58,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
59,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
60,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - 
61,"面白い。この記事を読んでから、病院や商業施設のラミネートされた掲示物やテプラが異様に気になるし、元々のデザインに注目するようになった。
バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
62,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
63,"面白かった。自分がデザインする時は気を付けないとですね。
バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://bit.ly/2oxXMdw "
64,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

スタイリッシュにするとろくなことにならない"
65,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
66,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
67,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …　なるほど
68,ドア危険すぎる / “バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” 
69,"デザインって、こんなに大事なんだ・・デザイン一つで事故を誘発しているとは。奥深い。

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
70,80件のコメント http://b.hatena.ne.jp/entry/s/note.mu/ori_io/n/n721e9694788b#tw?u=napsucks … “バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” http://htn.to/Fw2ELu 
71,80件のコメント http://b.hatena.ne.jp/entry/s/note.mu/ori_io/n/n721e9694788b#tw?u=lambdalisue … “バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” http://htn.to/deQMmA 
72,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
73,80件のコメント http://b.hatena.ne.jp/entry/s/note.mu/ori_io/n/n721e9694788b#tw?u=pstudio … “バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” http://htn.to/CoK7SWUm 
74,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
75,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜#デザイン 記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
76,“バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” http://htn.to/SL1KVv 
77,バッドデザイン…！ / 他79コメント http://b.hatena.ne.jp/entry/s/note.mu/ori_io/n/n721e9694788b#tw?u=Mktg_Wizard … “バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” http://htn.to/Ph8sWYW 
78,"これは秀逸！

バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜#デザイン 記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …"
79,“バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note” http://htn.to/8xcKVNbSeG 
80,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） 
81,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
82,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …

めっちゃおもしろい"
83,"悪いデザインはあまりシェアされないけど、発信するの大事ですよね。声を上げないと改善されない
バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜#デザイン 記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …"
84,"味わい深い、また勉強になる賞だ

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - "
85,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
86,"最初はジョークっぽいのを想像して読んでみたんですが、苦笑いを通り越して真顔になるノミネートも……

危険なのは良くないですよね……

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
87,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
 すばらし！"
88,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
89,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

47日前なのでちょっとしばらく経ったやつやけど、勉強になります"
90,"解説にも文才を感じる。
まぁ、医学も生理学と病理学を共に理解しないと医学を理解したことにならないということか。
余計分かりにくいバッドデザイン説明であった
バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
91,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
92,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 … 毎年やってほしい。主観的でない冷静なジャッジでためになる。UIって本当、独りよがりではダメなんだね…
93,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
94,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
95,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
96,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
97,"うける

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
98,"こういうの大好き！笑
まだ前職に在職していて商品企画を担当していたらすごく参考になっていたと思う。
バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …"
99,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
100,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - 
101,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） 
102,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - -... https://tmblr.co/ZaJgjd2ThUA-s 
103,"孔明の罠ですごい笑った。

バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
104,"世の中はまだまだバッドデザインであふれてる

バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …"
105,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
106,めちゃくちゃ笑った。いやほんとに良いデザインを褒める事も大事だけどダメなデザインをフィードバックしていくことも大切　バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
107,来年は上半期と下半期に分けて紹介してほしいと思うくらいおもしろかった！／バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜おり｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
108,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
109,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
110,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
111,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - @hinoharu http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
112,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
113,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary -
http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
114,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
115,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …

ふれあえない灯の偽善ぷりたるや"
116,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- https://getpocket.com/@memorialTL/share/2974847 …
117,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
118,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
119,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
120,本当にどうしてこうなった。 RT バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - 
121,"""バッドデザイン賞を勝手にノミネートしてみた-2017年度版-"" 

良いデザイン事例と悪いデザイン事例を写真に撮ってストックしているのですが、その中には「本当にこれギャグじゃないの？」というレベルのバッドデザインがあったりする

#BnA本日の他サイトおすすめ記事"
122,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
やっちゃいけないデザインの見事な実例が出そろってますね。反面教師から学べるデザインの理屈。"
123,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
124,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
125,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
126,「いつかそれが設計者の目に留まり」というのは消極的すぎると思うけど直接届ける労力を考えるとね / “バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Dia…” http://htn.to/J7sttQ 
127,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

これ、面白かった！"
128,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

孔明の罠マジで引っかかるからなやめろよマジで"
129,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

めっちゃ苦笑った"
130,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary -

めっちゃワロタ http://ddd.entaku-guild.com/entry/bad-design-award-2017#20171206-3 …"
131,面白い。 / バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
132,バッドデザイン賞を勝手にノミネートしてみた-2017年度版 http://ddd.entaku-guild.com/entry/bad-design-award-2017 … 面白かった。
133,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
134,"笑っちゃいけないんだろうけど笑ってしまった
バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） "
135,バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …
136,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

ほう…"
137,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
138,"とても勉強になった。
＞バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …"
139,"「孔明の罠」は本当に危ない…。どうしてこういう設計にしたし…。
バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） https://note.mu/ori_io/n/n721e9694788b …"
140,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - 
141,"バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 http://ddd.entaku-guild.com/entry/bad-design-award-2017 …

ちょっと前の記事、「孔明の罠」は避けようがなくて笑えるｗ
動作の統一性の無さはwebデザインの世界でも多々見かける話なのでワイも気を付けよっと"
142,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
143,"これは、おもしろい！
ユーザー側がこれどうなの？って言うのは面白いし、価値があると思う。

バッドデザイン賞を勝手にノミネートしてみた-2017年度版-｜デザイン系記事まとめ｜note（ノート） "
144,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
145,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
146,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
147,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
148,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
149,バッドデザイン賞を勝手にノミネートしてみた-2017年度版- - 酔いどれデザイン日誌 - Drunken Design Diary - http://ddd.entaku-guild.com/entry/bad-design-award-2017 …
